City,Q1,MedAE,Q3,MAE,RMSE,R2,MAPE (%),MedAE (€),MSLE,Feature: Living area,Feature: Longitude,Feature: Latitude,Feature: Quarter,Feature: Number of lots,Feature: Year,Feature: Number of rooms,Feature: Postal code,Feature: Land area,Feature: Type of property_Apartment,Feature: Type of property_House,Feature: Nature of mutation_Sale of future completion,Feature: Nature of mutation_Sale,Parameter: bootstrap,Parameter: max_depth,Parameter: n_estimators
Montepellier,6809.514307692734,16295.856469322272,29511.700083158157,20876.160268200667,28002.68113200123,0.5973904260944349,37.84430862585122,16295.856469322272,0.1300778320298446,0.4077994523355907,0.2563236704261665,0.1592428537058418,0.0412354758249703,0.0350481304433483,0.0298391239477271,0.0251279600666773,0.0200867194939695,0.0192332931967947,0.0030867329105509,0.0029565077424463,1.226878464014262e-05,7.811121275800271e-06,True,16,1000
Nantes,11292.349912145379,25575.235622857203,44467.02040391762,31922.751109679502,41948.83142559975,0.46539238292222296,6513.581900313977,25575.235622857203,0.21757630900171823,0.17593592948730374,0.16613754170014444,0.22901859703695235,0.03461718080358785,0.012913738719486853,0.026079460083733904,0.19600357147064876,0.024615549587600587,0.11905647450973593,0.007530462890477344,0.007553857378957795,0.0002701694111554728,0.00026746692021484286,True,16,3000
Marseille,9502.162200150626,21337.346771020457,38723.023014130384,27660.76426032973,36997.54346838823,0.5611442336383037,26523.275494305955,21337.346771020457,0.463623256274205,0.2852420425975442,0.183941878890154,0.1854570319793574,0.0367807515154077,0.0349032999043368,0.0282669589254601,0.0314840536642955,0.1468264204508456,0.0577239728650434,0.0041841712680986,0.0043587082888579,0.0004122875483892,0.0004184221022092,True,16,1000
Toulouse,7341.548349999997,16880.049666666673,33094.99728333333,23893.34974063995,33100.161789103666,0.5575040343639824,11207.623451317091,16880.049666666673,0.342862120814159,0.3285928924826574,0.1861803279722628,0.1870450695321866,0.0357270406536784,0.0190996428857327,0.0280904991074691,0.0310594645730269,0.0515484515271065,0.105162939541206,0.01091272064536,0.0107350430745095,0.0028499134152145,0.0029959945895888,True,64,1000
Bordeaux,10617.513211876096,25179.312466627016,46933.211954384926,33255.69367219508,45347.65045147285,0.5692375996513912,10934.579666762418,25179.312466627016,0.3995633728562395,0.2693982221355198,0.2859610735407823,0.1537163415882941,0.0283937378530837,0.0106340098701021,0.0221942505116128,0.0582549252202032,0.0292351214746302,0.1220468569769692,0.009526326695702,0.0096327415614081,0.0005125391378527,0.0004938534338394,True,16,3000
Lyon,11630.042566518026,25000.01387068356,45434.65581352024,34048.590399667264,47582.89903801426,0.5281307914199803,57465.05810840293,25000.01387068356,0.7679653744420664,0.5246136308626788,0.1244049173920631,0.1532382377720985,0.0403415927153742,0.0293651342678913,0.0275800147977349,0.0286503053367353,0.0205684111007882,0.0355465708348177,0.0009255720411034,0.0008133950182174,0.0070643248829772,0.0068878929775195,True,16,3000
Paris,19127.825773197736,44244.65855865585,86108.6864487832,66961.96260371075,99657.34616239717,0.5253819612761528,55064.65961966152,44244.65855865585,1.1768830492212392,0.5918559631194792,0.1112243820009002,0.13018599289092744,0.03256003563603884,0.0315365562309924,0.02354868197607951,0.021780616300821187,0.04095637425463855,0.015652165709591163,0.0002906169573371644,0.00027665699830615136,6.501145332874053e-05,6.694647155939186e-05,True,16,3000
